31,15	4,97	16,88	2,82	54,18	27,92	10,09	10,28	7191,58	7,11	4,08	4,8	36,09	374,15	22,64	43,75	38,05	37,26	20,57	44,19	0,640304	1,44764	0,00733509	0,824451
31,47	5,01	17	2,81	54,39	28,25	10,22	10,23	7229,62	7,15	4,1	4,75	36,16	377,32	22,7	43,42	37,34	37,36	20,58	44,47	0,641074	1,44993	0,00733509	0,822114
31,68	4,97	16,93	2,82	54,14	28,08	10,13	10,14	7191,58	7,14	4,08	4,76	36,41	377,15	22,41	43,13	37,57	36,88	20,57	43,84	0,642112	1,45141	0,00736318	0,820217
31,06	4,88	16,69	2,81	53,97	28,28	9,91	10,05	6874,51	7,13	4,08	4,75	35,84	376,04	22,13	42,93	37,37	36,27	20,21	43,8	0,64262	1,44518	0,00733509	0,81435
30,96	4,88	16,51	2,79	53,02	28,43	10,05	10,1	6963,29	7,11	4,08	4,72	35,33	373,55	22,01	42,97	36,89	36,1	20,12	43,24	0,642282	1,43932	0,00733509	0,808851
31,25	4,87	16,54	2,81	53,02	28,32	9,98	10,19	6849,12	7,27	4,1	4,73	34,86	370,73	21,97	42,14	36,83	36,19	19,97	42,71	0,641447	1,42139	0,00723599	0,809006
31,28	4,96	16,87	2,79	53,93	28,59	9,83	10,13	6836,45	7,37	4,07	4,73	35,44	373,3	22,12	42,51	36,92	36,19	19,76	42,82	0,641702	1,43165	0,00723599	0,809636
31,74	5	17,32	2,87	54,35	28,83	10,13	10,24	6779,32	7,38	4,04	4,77	36,12	370,73	22,29	42,93	36,75	36,19	20,04	43,25	0,641978	1,44475	0,00723599	0,808902
31,34	4,9	17,25	2,86	53,39	28,84	10,04	10,2	6766,64	7,39	4,18	4,75	36,39	372,53	22,21	42,33	36,42	35,51	19,76	42,92	0,642412	1,44796	0,00726491	0,808439
31,03	4,86	17,45	2,84	52,65	28,84	10,13	10,16	6817,42	7,28	4,06	4,75	36,34	373,47	22,23	42,33	36,83	35,61	19,79	42,39	0,643576	1,45209	0,00726491	0,804611
30,9	4,88	17,46	2,83	52,57	28,81	10,21	10,16	6804,73	7,3	4,08	4,75	36,21	374,92	22,26	42,06	37	36,24	19,69	42,53	0,643576	1,45635	0,00726491	0,803002
31,18	4,8	17,27	2,84	52,28	28,62	10,18	10,18	6830,14	7,25	4,07	4,71	36,38	377,92	22,27	42,1	37,08	36,31	19,98	43,24	0,644357	1,46253	0,00736318	0,806698
31,29	4,79	17,31	2,83	52,81	28,64	10,31	10,12	6792,05	7,21	4,05	4,71	36,65	377,58	22,37	42,32	37,22	35,86	19,89	42,89	0,644881	1,46468	0,00736318	0,80892
31,16	4,76	17,16	2,81	53,23	29,59	10,31	10,12	6906,28	7,15	4,05	4,69	36,12	378,52	22,53	43,09	37,4	36,85	19,9	42,82	0,645356	1,46942	0,00736318	0,813013
31,31	4,78	17,48	2,83	54,3	29,95	10,52	10,15	6944,36	7,25	4,09	4,75	36,55	378,09	22,41	43,55	37,84	37,1	20,05	43,79	0,645825	1,47306	0,00736318	0,818781
30,99	4,76	17,48	2,86	53,81	29,56	10,52	10,14	6957,09	7,17	4,09	4,77	36,18	378,43	22,3	43,41	37,93	37,29	19,99	43,99	0,645636	1,47523	0,00736318	0,821723
30,75	4,76	17,36	2,81	53,6	29,15	10,56	9,95	6982,46	7,08	4,04	4,71	36,22	372,96	22,22	42,74	37,88	37,72	20,27	43,38	0,644471	1,47368	0,00746256	0,819304
30,5	4,77	17,44	2,81	53,6	28,93	10,28	9,95	6944,36	7,11	4,1	4,81	36,27	368,59	22,38	42,02	37,6	37,58	20,47	43,24	0,643595	1,47264	0,00743682	0,81754
30,24	4,7	17,31	2,79	53,14	29,01	10,2	9,87	6855,5	7,04	4,11	4,85	35,81	370,47	21,9	41,94	37,36	36,76	19,76	42,35	0,643961	1,46926	0,00743682	0,815856
30,28	4,65	16,96	2,79	52,61	28,88	10,53	9,85	6817,42	6,94	4,06	4,86	35,67	369,02	21,78	41,84	36,92	36,89	19,54	42,36	0,646064	1,46621	0,00743682	0,813677
30,13	4,67	17,12	2,79	52,69	28,76	10,44	9,87	6817,42	6,97	4,14	4,79	34,9	372,78	21,74	42,1	36,62	37,19	19,41	42,16	0,646779	1,46658	0,00743682	0,813678
30,09	4,67	16,88	2,77	53,06	28,38	10,31	9,87	6817,42	7,05	4,06	4,81	34,63	370,39	21,7	42,47	37,08	37,55	19,61	42,9	0,645647	1,46819	0,00743682	0,816392
30,49	4,68	17,14	2,76	53,85	28,96	10,48	9,92	6855,5	7,11	4,01	4,9	34,91	374,75	21,47	41,96	37,35	37,07	19,6	42,44	0,644912	1,46414	0,00743682	0,817988
30,57	4,66	17,43	2,81	54,8	29,68	10,6	9,87	6893,59	7,26	4,01	4,94	34,6	374,24	21,48	41,65	37,32	37,12	19,63	41,75	0,645957	1,46118	0,00733509	0,813265
30,46	4,65	17,51	2,85	52,77	29,76	10,81	9,8	6830,14	7,23	4,17	4,96	34,62	375,7	21,41	41,37	36,66	36,72	19,3	41,91	0,647628	1,46521	0,00733509	0,80429
30,38	4,69	17,87	2,9	53,1	31,12	10,69	9,87	6868,19	7,19	4,1	4,97	34,88	379,29	21,46	41,44	36,4	36,89	19,23	41,45	0,65211	1,46854	0,00733509	0,798757
30,69	4,72	17,94	2,99	53,97	30,97	10,75	9,9	6906,28	7,25	4,13	4,99	35,53	380,66	21,77	42,16	37,34	37,39	19,43	42,17	0,650268	1,47044	0,00733509	0,797823
30,7	4,69	17,86	2,97	54,22	30,97	10,88	9,99	6957,09	7,27	4,14	4,92	35	380,49	21,82	42,98	36,92	37,39	19,56	42,58	0,650268	1,47529	0,00733509	0,800364
30,71	4,68	17,73	2,97	54,14	30,83	11	10,04	6931,69	7,2	4,15	4,95	35,37	381,95	21,83	42,86	37,29	37,34	19,41	42,47	0,647927	1,47815	0,00733509	0,803903
30,86	4,68	17,63	2,99	54,39	31,57	10,96	10,03	6931,69	7,32	4,13	4,95	35,86	385,37	22,11	42,89	37,4	37,84	19,45	42,45	0,648128	1,47956	0,00733509	0,805893
31,24	4,68	17,4	2,99	54,47	31,23	10,86	10,06	6880,91	7,34	4,15	4,94	36,63	386,14	22,45	43,72	37,84	38,05	19,6	42,98	0,647952	1,48154	0,00736318	0,805841
