 IBDRY ENLAY HSEA DEO TSCDF WFC PEP NVS GBPEUR USDEUR CHFEUR 
25-11-2011 24,13 3,735 25,585 80,535 6 23,52 62,655 51,88 1,18076 0,74423 0,829749 
23-11-2011 24,64 3,815 25,565 79,915 6,1 23,445 62,605 52,975 1,18054 0,746658 0,829749 
22-11-2011 24,955 3,9 25,63 81,91 6,1 24,18 63,21 53,535 1,18401 0,753867 0,829102 
21-11-2011 25,225 3,925 25,7 80,87 6,35 24,245 63,395 53,71 1,191 0,755341 0,828322 
18-11-2011 26,21 4,205 25,82 82,975 6,35 24,845 63,59 54,87 1,1965 0,755456 0,827939 
17-11-2011 25,61 4,175 25,895 83,81 6,35 24,87 64,145 54,865 1,20118 0,757722 0,827424 
16-11-2011 25,55 4,215 25,89 83,365 6,11 25,195 65,465 55,225 1,20129 0,762894 0,827816 
15-11-2011 25,56 4,265 25,885 84,815 6,11 25,145 64,005 55,13 1,20129 0,76495 0,828488 
14-11-2011 26,31 4,335 25,89 83,825 6,1 25,26 62,865 55,25 1,19541 0,761145 0,828101 
11-11-2011 27,025 4,47 25,875 84,82 6,1 25,575 63,305 55,69 1,19377 0,758367 0,827502 
10-11-2011 25,98 4,32 25,75 83,04 6 25,14 62,775 54,66 1,19328 0,756377 0,826926 
9-11-2011 25,91 4,275 25,73 83,56 6 25,44 62,6 54,955 1,1934 0,756187 0,826542 
8-11-2011 27,465 4,615 26,05 85,305 6,04 26,08 63,035 55,985 1,19443 0,75365 0,826243 
7-11-2011 27,315 4,545 26,155 84,085 6,165 25,315 62,05 55,62 1,19976 0,756429 0,827066 
4-11-2011 26,965 4,52 26,205 83,66 6,015 25,475 62,1 55,955 1,20439 0,761602 0,828379 
3-11-2011 27,71 4,615 26,105 83,575 6,195 25,475 62,49 55,96 1,2047 0,76267 0,828479 
2-11-2011 27,275 4,415 26,215 82,06 6,03 25,175 62,47 55,435 1,20269 0,760358 0,828573 
1-11-2011 27,185 4,39 25,87 82,125 5,87 25,075 62,245 55,215 1,20342 0,760976 0,829931 
31-10-2011 29,435 4,735 26,36 83,79 6,13 26,27 63,085 57,245 1,20128 0,76171 0,830151 
28-10-2011 30,425 4,91 26,55 85,315 5,925 26,91 63,115 58,055 1,19599 0,760465 0,829749 
27-10-2011 30,815 5,05 26,43 84,855 6,04 26,92 62,615 58,4 1,19202 0,758903 0,829247 
26-10-2011 28,96 4,665 26,17 83,715 6,04 25,735 61,83 56,58 1,19152 0,758403 0,82855 
25-10-2011 28,805 4,66 26,07 83,715 6,3 25,81 62,14 56,525 1,1962 0,764483 0,827781 
24-10-2011 29,015 4,685 26,13 85,49 6,225 26,365 62,125 58,665 1,19816 0,768506 0,827737 
21-10-2011 28,905 4,705 25,93 84,73 6,125 26,195 62,44 58,53 1,1987 0,770079 0,828284 
20-10-2011 27,88 4,655 25,88 83,35 6,105 25,415 62,175 57,67 1,20267 0,772816 0,8279 
19-10-2011 28,645 4,71 26,04 83,705 6,26 25,64 62,39 57,13 1,20238 0,774573 0,82767 
18-10-2011 28,605 4,645 25,905 80,645 6,3 25,36 62,24 57,49 1,19968 0,778106 0,827502 
17-10-2011 29,01 4,745 25,805 80,37 6,385 24,85 62,21 57,61 1,20315 0,78309 0,826853 
14-10-2011 29,49 4,89 25,8 81,915 6,45 26,295 62,27 58,56 1,20741 0,787363 0,827026 
13-10-2011 29,125 4,76 25,78 81,2 6,07 26,12 62,25 57,725 1,20914 0,789634 0,827932 
12-10-2011 29,455 4,915 25,76 81,135 6,175 26,895 62,81 58,105 1,20606 0,787149 0,827148 
11-10-2011 28,555 4,745 25,495 79,595 5,935 25,995 61,165 57,38 1,20516 0,784665 0,82514 
10-10-2011 28,94 4,845 25,48 79,62 6,24 25,685 61,65 57,62 1,21083 0,784318 0,824739 
7-10-2011 28,24 4,66 25,42 79,06 6,24 25,03 61,08 56,47 1,21134 0,783755 0,824334 
6-10-2011 27,81 4,54 25,335 77,275 6,195 24,7 60,045 55,65 1,21261 0,785995 0,823417 
5-10-2011 27,13 4,43 25,145 76 6,1 24,16 59,835 54,8 1,21134 0,782791 0,822219 
4-10-2011 26,1 4,295 24,965 74,44 6,14 23,44 59,53 54,67 1,20626 0,774082 0,820919 
3-10-2011 26,18 4,32 25,37 75,955 6,285 23,825 61,22 55,2 1,20058 0,769061 0,821208 
30-9-2011 26,965 4,41 25,545 76,345 6,44 24,59 62,42 56,07 1,19819 0,770593 0,821792 
29-9-2011 27,675 4,49 25,57 77,42 6,34 24,69 62,535 56,435 1,19898 0,772505 0,822243 
28-9-2011 27,37 4,395 25,49 78,465 6,335 24,87 62,585 56,17 1,19766 0,772559 0,821287 
27-9-2011 27,66 4,35 25,865 79,435 6,36 25,365 62,68 55,625 1,19535 0,77141 0,820141 
26-9-2011 25,975 4,035 25,7 76,59 6,41 24,32 61,385 54,415 1,19751 0,766493 0,819061 
23-9-2011 25,265 3,87 25,7 74,685 6,66 23,41 60,22 53,4 1,19674 0,765377 0,81825 
22-9-2011 25,23 3,87 25,825 73,82 6,485 23,055 60,39 53,865 1,19543 0,765974 0,817964 
21-9-2011 26,805 4,13 26,21 76,895 6,44 24,42 61,375 55,415 1,19695 0,766464 0,81812 
20-9-2011 27,35 4,19 26,07 77,795 6,32 24,705 60,835 55,465 1,19988 0,765327 0,819025 
19-9-2011 26,94 4,15 26,09 76,09 6,43 24,305 60,595 55,1 1,19693 0,764901 0,820289 
16-9-2011 27,66 4,35 26,255 78,21 6,62 24,965 62,32 55,94 1,19332 0,767146 0,820444 
15-9-2011 27,93 4,33 26,145 77,635 6,41 24,965 62,285 56,465 1,19143 0,767679 0,819565 
14-9-2011 26,005 4,185 26,02 77,2 6,415 24,425 61,22 55,7 1,19149 0,767701 0,816301 
13-9-2011 24,64 4,025 25,92 75,78 6,6 24,535 60,525 55,125 1,19042 0,768959 0,811669 
12-9-2011 24,115 4,01 25,93 75,055 6,465 23,575 59,745 54,19 1,18708 0,765332 0,810443 
9-9-2011 25,19 4,145 26,44 76,315 6,42 23,855 60,44 55,615 1,18006 0,756925 0,809517 
8-9-2011 26,9 4,42 26,525 78,2 6,345 24,555 61,295 56,405 1,17329 0,750496 0,809163 
7-9-2011 26,655 4,475 26,47 78,075 6,22 24,57 62,085 56,75 1,17127 0,747178 0,80874 
6-9-2011 25,74 4,345 26,3 77,975 6,22 23,655 62,05 55,285 1,17012 0,746794 0,807277 
2-9-2011 28 4,635 26,395 80,24 6,43 24,335 63,645 57,6 1,16651 0,746397 0,806843 
1-9-2011 29,085 4,84 26,49 80,55 6,09 25,72 64,49 58,84 1,16597 0,746168 0,808498 
31-8-2011 29,475 4,845 26,395 80,27 5,98 25,855 64,38 58,345 1,16441 0,745398 0,809516 
30-8-2011 28,835 4,735 26,285 78,09 5,87 25,305 64,28 56,875 1,16518 0,745283 0,811603 
29-8-2011 29,31 4,84 26,235 79,115 5,83 25,175 63,875 56,99 1,16755 0,745128 0,814238 
26-8-2011 27,945 4,665 26,285 77,18 5,915 24,325 62,76 56,18 1,16863 0,749028 0,81477 
25-8-2011 28,7 4,78 26,16 76,265 5,8 25,11 63,335 56,47 1,1658 0,750084 0,813142 
24-8-2011 29,135 4,855 26,08 73,16 5,5 24,3 63,39 57,6 1,16524 0,752159 0,812633 
23-8-2011 29,005 4,8 25,925 74,485 5,735 23,295 62,79 56,715 1,16485 0,752677 0,812633 
22-8-2011 28,93 4,775 26,06 74,46 5,745 23,46 62,28 56,015 1,16163 0,747163 0,813615 
19-8-2011 27,92 4,67 26,16 74,015 5,73 23,485 62,5 55,28 1,15946 0,743043 0,810982 
18-8-2011 27,89 4,76 26,115 75,615 5,915 23,945 63,53 55,595 1,16006 0,740531 0,808344 
17-8-2011 29,85 5,05 26,345 78,16 5,885 24,92 64,23 57,06 1,16548 0,740324 0,807097 
16-8-2011 29,68 4,935 26,305 77,995 5,7 24,63 63,455 55,89 1,16852 0,740366 0,806677 
15-8-2011 30,185 5,18 26,225 77,88 5,7 24,805 63,46 55,745 1,16876 0,741698 0,807017 
12-8-2011 29,525 5,095 26,31 76,315 5,9 24,53 63,065 55,025 1,16922 0,739286 0,807173 
11-8-2011 27,805 4,865 26,26 74,365 6,135 23,915 62 53,57 1,16807 0,733948 0,807199 
10-8-2011 27,665 4,855 26,285 73,655 5,91 23,44 61,495 55,695 1,1673 0,728596 0,807826 
9-8-2011 28,25 5,13 25,84 73,865 5,97 23,755 62,25 56,095 1,17034 0,730935 0,808933 
8-8-2011 28,585 5,125 25,46 75,77 6,105 24,21 63,895 55,345 1,17152 0,733987 0,810548 
5-8-2011 29,69 5,205 25,505 78,005 6,14 25,65 64,48 57,12 1,16746 0,727838 0,808361 
4-8-2011 29,725 5,25 26,445 78,53 5,95 26,375 64,145 58,3 1,16573 0,726161 0,808047 
3-8-2011 31,25 5,495 26,595 79,975 5,94 27,1 63,885 59,695 1,16404 0,72611 0,814063 
2-8-2011 30,9 5,455 26,67 80,09 5,98 27,495 63,47 59,94 1,16223 0,726197 0,820711 
1-8-2011 31,72 5,54 26,735 81,25 6,03 27,955 63,94 61,25 1,16172 0,727414 0,823177 
29-7-2011 32,41 5,735 26,44 81,72 6,195 28,15 63,88 61,415 1,16284 0,727414 0,822335 
28-7-2011 32,275 5,755 26,565 82,185 6,22 28,58 64,14 61,47 1,15649 0,721773 0,821211 
27-7-2011 32,64 5,765 26,695 82,385 6,33 28,75 64,115 62,35 1,1438 0,710925 0,819689 
26-7-2011 33,54 5,98 26,735 83,13 6,05 29 64,33 62,89 1,14044 0,708799 0,818218 
25-7-2011 33,515 5,95 26,71 82,43 5,99 28,82 64,825 62,67 1,14461 0,714711 0,81751 
22-7-2011 33,98 5,985 26,765 82,58 6,31 29,205 65,745 61,995 1,14966 0,71895 0,81769 
21-7-2011 33,74 5,975 26,745 82,015 6,19 29,24 66,05 62,46 1,14902 0,719331 0,816009 
20-7-2011 32,325 5,78 26,64 80,365 6,135 28,87 68,575 62,26 1,14902 0,720193 0,815379 
19-7-2011 31,135 5,63 26,71 79,545 6,25 27,89 68,24 62,31 1,14756 0,722775 0,812821 
18-7-2011 30,69 5,515 26,705 79,565 6,01 26,81 67,995 60,655 1,14509 0,726631 0,807391 
15-7-2011 30,85 5,65 26,725 80,55 5,91 27,235 68,265 61,34 1,14434 0,726331 0,807725 
14-7-2011 31,395 5,75 26,68 81,105 5,985 27,515 68,76 61,45 1,14475 0,726587 0,809248 
13-7-2011 31,14 5,805 26,7 81,4 5,835 27,785 69,05 61,6 1,14143 0,722384 0,808205 
12-7-2011 30,79 5,705 26,55 80,89 5,87 27,635 69,2 61,385 1,14107 0,7227 0,808421 
11-7-2011 31,515 5,805 26,63 81,905 6,22 27,73 69,2 61,655 1,14272 0,727449 0,808836 
8-7-2011 32,875 6,125 26,73 83,51 6,16 28,23 69,925 62,195 1,1439 0,730735 0,808609 
7-7-2011 34,835 6,31 26,765 83,48 6,25 28,76 70,5 61,83 1,14913 0,735625 0,808816 
6-7-2011 34,5 6,19 26,715 83,275 6,335 27,91 69,98 61,6 1,15737 0,741815 0,807193 
5-7-2011 35,31 6,29 26,715 83,97 6,25 28,32 70,055 61,395 1,15968 0,74796 0,807648 
1-7-2011 35,945 6,47 26,655 81,97 6,415 28,355 69,985 60,9 1,15654 0,749426 0,81201 
30-6-2011 35,315 6,465 26,625 81,58 6,47 28,08 70,205 60,635 1,16217 0,752932 0,817375 
29-6-2011 34,9 6,355 26,405 80,99 6,5 27,83 70,005 60,345 1,16598 0,75464 0,822112 
28-6-2011 34,285 6,205 26,5 80,77 6,47 27,455 69,48 60,045 1,16508 0,74967 0,823108 
27-6-2011 33,67 6,11 26,97 81,19 6,405 27,435 68,93 59,55 1,15857 0,742711 0,8215 
24-6-2011 33,355 6,075 26,99 80,37 6,43 27,07 68,305 59,445 1,14942 0,735538 0,819738 
23-6-2011 33,915 6,095 26,99 80,14 6,41 26,915 68 59,455 1,15009 0,736337 0,819721 
22-6-2011 35,175 6,265 26,99 81,045 6,5 27,61 68,95 60,65 1,15067 0,739627 0,819403 
21-6-2011 34,905 6,22 26,885 82,15 6,5 27,255 69,07 60,82 1,14876 0,74188 0,818725 
20-6-2011 34,06 6,13 26,81 81,285 6,535 27,045 68,945 60,495 1,14386 0,740329 0,817801 
17-6-2011 34,47 6,455 26,74 81,29 6,64 27,285 69,025 60,585 1,14305 0,73632 0,817969 
16-6-2011 33,56 6,395 26,87 80,89 6,44 26,665 68,87 60,65 1,14636 0,731097 0,822091 
15-6-2011 33,9 6,37 27,07 81,67 6,585 26,445 68,905 60,91 1,14914 0,73202 0,827779 
14-6-2011 35,23 6,595 27,195 82,89 6,395 27,265 69,515 61,515 1,1475 0,729311 0,828527 
13-6-2011 34,26 6,475 27,305 82,915 6,415 26,73 68,97 61,18 1,14464 0,727124 0,82823 
10-6-2011 34,545 6,52 27,33 83,225 6,33 26,105 69 60,82 1,14746 0,727124 0,829917 
9-6-2011 35 6,63 27,325 84,065 6,31 25,86 69,35 61,885 1,1545 0,731019 0,830664 
8-6-2011 35,29 6,61 27,33 83,075 6,415 25,72 68,705 62,575 1,16053 0,732967 0,830247 
7-6-2011 35,545 6,735 27,225 84,28 6,365 26,15 69,07 63,16 1,16369 0,73431 0,829161 
6-6-2011 35,095 6,685 27,345 84,405 6,385 26,415 69,115 63,21 1,15346 0,724998 0,827029 
3-6-2011 35,305 6,86 27,39 84,4 6,5 26,97 69,03 63,63 1,13845 0,712587 0,826544 
2-6-2011 35,205 6,89 27,33 84,975 6,565 26,86 69,855 63,32 1,13831 0,711329 0,840919 
1-6-2011 34,87 6,865 27,355 84,72 6,61 27,64 70,575 64,085 1,1414 0,709511 0,876464 
31-5-2011 35,41 6,905 27,4 84,97 6,78 28,32 70,865 64,18 1,14185 0,7064 0,896863 
27-5-2011 34,51 6,71 27,435 84,125 6,625 28,095 70,655 63,075 1,13804 0,702033 0,88502 
26-5-2011 34,155 6,62 27,415 82,265 6,58 27,62 70,22 62,02 1,13146 0,696485 0,865245 
25-5-2011 33,745 6,495 27,365 81,7 6,71 27,67 70,555 61,595 1,12978 0,692462 0,850305 
24-5-2011 33,65 6,56 27,385 82 6,89 27,555 70,94 60,985 1,12983 0,690497 0,845883 
23-5-2011 33,3 6,485 27,31 81,755 6,92 27,725 71,06 60,59 1,12925 0,689513 0,850398 
20-5-2011 34,195 6,66 27,36 83,135 6,745 28,28 71,53 61,53 1,13123 0,691422 0,861857 
19-5-2011 34,785 6,75 27,3 83,455 6,65 28,77 71,53 61,56 1,13695 0,693775 0,873636 
18-5-2011 34,46 6,675 27,245 82,69 6,855 28,7 71,04 61,23 1,14246 0,693445 0,876497 
17-5-2011 34,56 6,595 27,26 82,995 7 28,255 70,89 60,595 1,14518 0,694384 0,88061 
16-5-2011 34,47 6,67 27,395 84,155 6,91 28,06 70,695 61,26 1,14508 0,695025 0,883375 
13-5-2011 34,56 6,73 27,445 83,86 6,68 28,125 70,745 61,025 1,14565 0,695043 0,881934 
12-5-2011 35,135 6,695 27,39 83,475 6,72 27,99 70,505 60,865 1,14628 0,694768 0,877326 
11-5-2011 35,29 6,7 27,37 84,06 6,85 28,325 70,29 60,33 1,14057 0,693717 0,879044 
10-5-2011 35,54 6,75 27,45 83,355 6,755 28,44 69,965 60,085 1,13758 0,695146 0,884069 
9-5-2011 35,065 6,575 27,45 82,6 6,64 28,26 69,73 60,15 1,13962 0,698782 0,89125 
6-5-2011 35,9 6,62 27,395 82,41 6,645 28,355 69,565 59,995 1,14097 0,702609 0,920078 
5-5-2011 36,3 6,815 27,4 81,165 6,53 28,29 69,075 59,68 1,13723 0,702106 0,95525 
4-5-2011 37,165 7 27,34 80,425 6,73 29,155 69,615 60,365 1,13922 0,700301 0,956535 
3-5-2011 37,18 7,07 27,27 80,865 6,665 29,19 69,235 59,525 1,14654 0,701838 0,936936 
2-5-2011 37,385 7,1 27,36 81,695 6,54 29,15 69,255 59,315 1,14802 0,69985 0,919076 
29-4-2011 37,05 7,1 27,395 81,335 6,56 29,205 69,295 59,2 1,14773 0,700055 0,911303 
28-4-2011 37,11 7,14 27,345 80,935 6,7 29,235 68,895 58,755 1,14746 0,701818 0,909792 
27-4-2011 36,345 7,005 27,285 80,705 6,69 29,115 67,955 58 1,146 0,702073 0,909377 
26-4-2011 35,95 6,845 27,25 79,245 6,65 28,66 67,35 57,725 1,14399 0,700847 0,896479 
25-4-2011 35,415 6,79 27,11 79,18 6,42 28,63 67,055 56,86 1,14151 0,696024 0,884243 
21-4-2011 35,52 6,755 27,115 79,56 6,46 28,67 67,29 57,37 1,14042 0,695842 0,878452 
20-4-2011 35,12 6,67 27,08 79,355 6,495 28,82 67,235 57,67 1,13723 0,695517 0,867478 
19-4-2011 34,325 6,47 26,99 78,43 6,425 29,875 66,875 56,045 1,13252 0,691522 0,862308 
18-4-2011 33,985 6,405 26,935 76,945 6,485 29,615 66,885 54,4 1,13199 0,693131 0,860947 
15-4-2011 35,14 6,655 26,935 78,685 6,595 30,165 66,79 55,815 1,13435 0,695997 0,857098 
14-4-2011 35,475 6,615 26,78 78,16 6,565 30,345 66,495 55,58 1,13524 0,697735 0,851862 
13-4-2011 36,05 6,64 26,805 78,03 6,465 31,12 66,575 55,365 1,13571 0,701963 0,855125 
12-4-2011 36,085 6,55 26,91 77,395 6,435 31,355 66,135 55,375 1,13769 0,705755 0,859631 
11-4-2011 36,135 6,59 27 78,11 6,45 31,54 66,01 55,19 1,1402 0,708439 0,866461 
8-4-2011 36,14 6,57 27,02 78,51 6,35 32,045 65,675 55,635 1,14168 0,708996 0,870223 
7-4-2011 35,77 6,46 27,14 78,5 6,43 32,33 65,795 55,675 1,13868 0,705625 0,866356 
6-4-2011 35,745 6,535 27,35 78,47 6,11 32,195 65,695 55,195 1,13674 0,707099 0,86262 
5-4-2011 35,14 6,52 27,375 77,88 6,165 31,94 65,305 54,97 1,13671 0,712772 0,858536 
4-4-2011 35,345 6,41 27,24 76,965 6,18 31,825 64,99 54,455 1,13418 0,712524 0,853187 
1-4-2011 34,96 6,3 27,26 76,87 6,11 32,045 64,945 53,95 1,12877 0,705556 0,843297 
31-3-2011 34,815 6,255 27,145 76,445 6,27 31,665 64,79 54,485 1,12204 0,70022 0,834911 
30-3-2011 34,725 6,24 26,915 75,44 6,33 31,84 64,88 54,42 1,11554 0,69722 0,828684 
29-3-2011 34,56 6,11 26,935 74,36 6,105 31,435 64,32 54,515 1,11288 0,693619 0,823643 
28-3-2011 34,385 6,005 27,41 74,725 6,17 31,82 64,37 55,255 1,10867 0,689715 0,814488 
25-3-2011 34,465 5,98 27,39 74,94 6,25 31,805 64,21 55,64 1,10651 0,688252 0,811495 
24-3-2011 34,56 6,025 27,405 74,69 6,12 31,335 64,325 54,885 1,10702 0,689135 0,816929 
23-3-2011 34,145 5,94 27,31 74,385 6,15 31,22 64,055 54,33 1,11022 0,692017 0,829066 
22-3-2011 34,29 5,93 27,33 74,705 6,32 31,68 63,94 54,935 1,11442 0,696313 0,83581 
21-3-2011 34,005 5,85 27,125 74,915 6,285 31,855 63,9 54,19 1,11957 0,700981 0,840138 
18-3-2011 33,19 5,755 26,945 73,975 6,32 31,995 63,255 53,875 1,12446 0,704679 0,843827 
17-3-2011 32,835 5,715 26,81 73,375 6,4 31,165 62,91 53,84 1,12419 0,703672 0,84117 
16-3-2011 32,155 5,555 26,995 72,415 6,465 31,74 62,485 52,97 1,12352 0,699149 0,832027 
15-3-2011 32,53 5,535 26,85 73,5 6,38 31,755 63,17 53,33 1,12576 0,695552 0,826558 
14-3-2011 33,405 5,645 26,83 75,81 6,485 31,99 64,01 54,26 1,13075 0,698182 0,826393 
11-3-2011 33,025 5,72 26,81 75,875 6,5 32,21 64,61 54,715 1,13258 0,70016 0,826012 
10-3-2011 32,54 5,72 26,88 76,37 6,475 32,295 64,49 54,835 1,13514 0,701673 0,826009 
9-3-2011 33,185 5,87 26,875 77,62 6,46 32,6 64,195 55,09 1,13992 0,703454 0,827081 
8-3-2011 33,1 5,81 26,86 77,365 6,59 32,315 63,605 55,465 1,13652 0,695847 0,823118 
7-3-2011 33,45 5,87 26,935 77,675 6,555 31,99 63,395 56,41 1,13455 0,693893 0,826096 
4-3-2011 33,305 5,86 26,91 77,78 6,565 31,965 63,45 57,15 1,13247 0,696594 0,827704 
3-3-2011 33,76 5,87 26,74 77,65 6,48 32,23 63,49 57,285 1,12861 0,692842 0,823523 
2-3-2011 33,93 5,865 26,585 77,47 6,7 30,885 62,765 57,35 1,12325 0,684973 0,81746 
1-3-2011 34,305 5,84 26,65 78,885 6,39 32,03 63,57 57,035 1,12103 0,683136 0,816994 
28-2-2011 34,94 5,935 26,53 78,41 6,35 32,355 63,665 56,14 1,12103 0,683517 0,817899 
25-2-2011 34,545 5,875 26,565 77,56 6,21 32,495 63,39 55,11 1,12216 0,683764 0,81885 
24-2-2011 33,99 5,82 26,58 77,025 6,235 31,265 62,955 55,19 1,12675 0,687663 0,821097 
23-2-2011 33,875 5,715 26,545 77,305 6,345 31,24 63,335 57,41 1,13645 0,694064 0,821813 
22-2-2011 33,88 5,735 26,655 77,28 6,56 31,685 63,05 56,96 1,1427 0,694604 0,818126 
18-2-2011 34,985 5,835 26,825 77,905 6,64 32,705 63,855 57,155 1,14951 0,697423 0,818884 
17-2-2011 35,125 5,83 26,835 76,92 6,65 33,04 63,965 56,875 1,15324 0,699539 0,822415 
16-2-2011 34,65 5,81 26,75 77,065 6,53 33,13 64,16 56,025 1,15354 0,701474 0,819035 
15-2-2011 33,975 5,74 26,72 77,195 6,38 33,885 63,755 55,82 1,15349 0,708476 0,812251 
14-2-2011 34,095 5,775 26,845 76,465 6,2 33,825 63,75 55,77 1,15002 0,710643 0,808535 
11-2-2011 34,25 5,81 26,87 77,04 6,375 33,27 63,29 55,815 1,1478 0,710824 0,805875 
10-2-2011 34,275 5,79 26,865 76,65 6,32 33,09 63,565 55,665 1,14864 0,709541 0,806373 
9-2-2011 34,885 5,875 26,755 80,545 6,45 33,2 64,365 56,095 1,14169 0,704467 0,800996 
8-2-2011 34,8 5,8 26,715 80,36 6,445 33,725 63,89 56,285 1,13492 0,7011 0,79544 
7-2-2011 34,405 5,72 26,63 79,99 6,335 33,245 63,62 56,54 1,14 0,703103 0,797061 
4-2-2011 34,16 5,7 26,725 79,275 6,47 32,63 63,97 56,235 1,14509 0,706327 0,797077 
3-2-2011 34,345 5,66 26,73 78,53 6,39 32,735 64,345 56,495 1,14653 0,707924 0,795226 
2-2-2011 35,11 5,72 26,68 78,09 6,54 32,975 64,45 56,51 1,14789 0,706681 0,793657 
1-2-2011 34,98 5,765 26,725 77,815 6,62 33,01 64,72 56,49 1,14643 0,701365 0,792822 
31-1-2011 34,415 5,645 26,83 77,27 6,595 32,115 64,385 55,95 1,1421 0,697051 0,792103 
28-1-2011 33,825 5,575 26,725 77,5 6,61 32,295 64,98 55,98 1,14015 0,696523 0,794816 
27-1-2011 34,425 5,655 26,68 79,465 6,7 32,31 65,7 56,41 1,14057 0,696937 0,794816 
26-1-2011 34,015 5,55 26,595 79,71 6,67 32,62 65,78 57,815 1,1327 0,691051 0,790926 
25-1-2011 34,035 5,545 26,625 78,195 6,65 32,35 66 57,635 1,11459 0,676094 0,784071 
24-1-2011 34,475 5,565 26,55 78,22 6,66 32,58 65,89 57,095 1,1139 0,674268 0,781784 
21-1-2011 34,41 5,56 26,7 76,98 6,68 32,38 65,995 56,495 1,12052 0,674822 0,780134 
20-1-2011 33,655 5,465 26,82 76,445 5,49 32,01 66,07 56,18 1,12643 0,674799 0,779302 
19-1-2011 33,38 5,365 26,915 78,91 6,64 32,21 66,19 57,195 1,12691 0,675143 0,777768 
18-1-2011 32,85 5,22 26,725 80,185 6,83 32,525 66,775 57,575 1,12494 0,677087 0,774896 
14-1-2011 31,725 5,17 26,7 77,585 6,705 32,315 66,865 56,75 1,12709 0,682526 0,778395 
13-1-2011 31,635 5,115 26,63 77,26 6,59 31,92 67,055 57,095 1,13062 0,685652 0,778142 
12-1-2011 29,955 4,945 26,485 76,025 6,76 31,885 66,81 57,495 1,13309 0,68636 0,776177 
11-1-2011 28,265 4,77 26,46 76,9 6,63 31,365 66,38 56,775 1,13298 0,686561 0,775097 
10-1-2011 28,14 4,76 26,495 75,465 6,76 31,21 66,08 56,655 1,13207 0,688483 0,774847 
7-1-2011 28,585 4,89 26,545 75,865 6,765 31,435 66,535 57,3 1,13559 0,695525 0,77651 
6-1-2011 29,4 4,96 26,595 76,155 6,67 32,295 66,665 57,895 1,13925 0,69989 0,780384 
5-1-2011 29,64 4,94 26,595 74,415 6,63 31,95 66,22 57,57 1,13477 0,696321 0,778705 
4-1-2011 30,49 5,055 26,69 74,81 6,6 31,715 65,655 58,535 1,13055 0,692543 0,775552 
3-1-2011 30,655 5,02 26,795 74,47 6,44 31,41 65,845 59,24 1,12689 0,69141 0,77245 
31-12-2010 30,61 4,985 26,64 74,14 6,58 30,845 65,29 58,96 1,12515 0,691308 0,769173 
30-12-2010 30,595 4,965 26,45 74,025 6,64 30,91 65,355 58,945 1,12945 0,69215 0,76571 
29-12-2010 30,58 4,99 26,905 74,69 6,575 31,13 65,55 59,255 1,13194 0,691547 0,76188 
28-12-2010 30,385 4,975 26,895 74,425 6,61 31,15 65,355 59,255 1,13514 0,69393 0,761818 
27-12-2010 30,605 4,985 26,845 74,51 6,685 31,06 65,56 58,565 1,14136 0,699568 0,761201 
23-12-2010 30,9 5,025 26,72 74,78 6,88 31,11 65,715 58,665 1,14149 0,701676 0,760835 
22-12-2010 31,045 5,01 26,52 74,38 6,96 31,235 65,465 58,935 1,13811 0,703744 0,761927 
21-12-2010 30,615 5,03 26,565 74,25 6,6 30,475 65,815 58,815 1,13348 0,702788 0,760888 
20-12-2010 30,21 4,97 26,755 74,02 6,81 30,065 66,05 58,69 1,13305 0,703646 0,763779 
17-12-2010 29,205 4,92 26,665 73,39 6,84 29,975 65,73 58,625 1,13586 0,707057 0,76978 
16-12-2010 28,91 4,97 26,79 73,75 6,625 30,03 65,49 58,6 1,1364 0,70946 0,770766 
15-12-2010 28,715 5,02 26,65 73,025 6,66 29,89 65,29 59,235 1,13609 0,710185 0,772943 
14-12-2010 29,095 5,09 27,19 73,75 6,96 30 65,6 55,71 1,13809 0,710707 0,772704 
13-12-2010 29,315 5,055 27,315 74,185 6,87 30,285 65,26 54,99 1,14167 0,709427 0,774833 
10-12-2010 29,055 5 27,36 73,97 6,825 30,36 64,795 54,54 1,14886 0,707417 0,780194 
9-12-2010 29,25 4,975 27,455 73,355 6,8 29,8 64,535 54,82 1,15112 0,705149 0,780249 
8-12-2010 29,15 4,94 27,53 73,145 6,82 28,935 64,675 54,485 1,14812 0,703954 0,778697 
7-12-2010 28,93 4,965 27,59 72,305 6,805 28,835 64,84 54,9 1,14557 0,70918 0,780801 
6-12-2010 28,575 4,88 27,705 71,86 6,745 28,915 64,925 54,42 1,14713 0,70918 0,786941 
3-12-2010 28,945 4,915 27,795 72,305 6,91 28,715 65,33 54,645 1,15106 0,716237 0,790223 
2-12-2010 28,495 4,89 27,64 71,82 6,9 28,185 65,16 54,58 1,15222 0,716872 0,781288 
1-12-2010 27,745 4,82 27,68 71,64 6,88 27,5 65,155 54,04 1,15394 0,716886 0,776136 
30-11-2010 26,85 4,705 27,48 71,6 6,985 27,14 64,315 53,6 1,15482 0,717523 0,773015 
29-11-2010 28,05 4,83 27,57 72,035 6,95 26,93 63,785 54,335 1,15992 0,720122 0,773967 
26-11-2010 28,495 5,015 27,635 73,645 6,74 26,9 64,105 54,805 1,16495 0,721045 0,773559 
24-11-2010 29,41 5,16 27,675 74,265 6,68 26,945 64,155 55,085 1,16289 0,718738 0,771246 
