 IBDRY ENLAY HSEA DEO TSCDF WFC PEP NVS DTE.DE GPDNF BP RBS PG JNJ GE C VZ NTT EOAN.DE OR.PA GBPEUR USDEUR CHFEUR EURJPY 
30-1-2015 27.73 4.485 26.685 118.64 3.4 52.335 94.445 97.955 15.4 67.22 38.745 10.92 84.735 101.045 23.965 47.315 46.035 29.63 13.825 158.45 1.38252 0.926946 0.945802 129.725 
29-1-2015 27.955 4.53 26.65 121.57 3.425 52.4 95.675 98.57 15.27 67.22 38.525 11.13 85.63 101.565 23.99 47.305 45.825 29.38 13.82 158.05 1.38541 0.936665 0.941478 129.146 
28-1-2015 27.7 4.46 26.67 118.545 3.42 52.755 96.715 98.05 15.11 67.235 39.32 11.285 85.96 102.185 24.15 47.81 46.53 29.305 13.645 155.775 1.39031 0.946101 0.939579 128.68 
27-1-2015 27.895 4.525 26.625 118.09 3.49 52.955 96.65 98.775 15.075 68.4 40.09 11.395 86.615 101.85 24.33 48.21 46.59 28.76 13.67 157.325 1.39906 0.946101 0.940592 128.263 
26-1-2015 27.595 4.525 26.63 118.44 3.45 53.245 98.31 97.035 14.965 68.35 39.505 11.53 89.345 101.83 24.57 48.72 46.795 28.54 13.605 156.7 1.40352 0.95026 0.945107 127.69 
23-1-2015 27.415 4.425 26.665 118.01 3.53 53.61 98.545 97.385 14.825 64.95 38.82 11.36 90.57 102.455 24.59 49.185 47.455 28.36 13.525 153.175 1.40744 0.949891 0.944748 127.755 
22-1-2015 27.165 4.45 26.57 116.585 3.55 53.15 98.02 96.485 14.39 64.95 38.825 11.62 90.78 102.7 24.16 48.84 47.695 28.485 13.32 149.05 1.41243 0.943438 0.938704 128.615 
21-1-2015 26.785 4.355 26.6 116.385 3.425 52.205 97.41 98.995 14.225 64.95 38.375 11.38 90.41 101.25 23.895 47.69 48.005 27.585 13.215 148.125 1.4088 0.935724 0.936715 129.7 
20-1-2015 26.35 4.3 26.71 115.46 3.39 52 97.58 101.635 14.245 64.755 37.705 11.51 91.145 101.155 23.71 47.575 47.98 27.845 13.2 147.15 1.39624 0.925473 0.935129 131.021 
16-1-2015 25.97 4.25 26.68 114.47 3.3 51.105 96.885 100.045 14.13 63.76 37.385 10.975 90.605 103.31 23.55 47.145 47.575 27.655 13.14 147.025 1.38894 0.921678 0.935155 131.183 
15-1-2015 25.825 4.15 26.585 113.19 3.3 51 96.85 99.125 13.935 63.75 35.89 10.98 89.92 102.975 23.765 47.575 47.17 27.525 12.985 146.9 1.38427 0.915467 0.935286 131.557 
14-1-2015 25.62 4.06 26.59 111.655 3.31 51.075 96.13 96.645 13.675 63.9 35.355 11.03 89.795 103.97 23.63 48.435 46.955 27.31 12.625 142.225 1.37844 0.902417 0.934479 132.83 
13-1-2015 25.86 4.105 26.61 112.82 3.27 51.89 96.655 96.395 13.845 63.66 36.045 11.24 90.635 105.285 23.98 50.42 47.365 26.62 12.67 141.775 1.37567 0.896598 0.933046 133.541 
12-1-2015 25.95 4 26.58 111.56 3.19 52.2 96.765 95.645 13.73 63.35 35.99 11.115 90.065 105.06 23.955 50.47 46.97 26.44 12.85 142.1 1.37473 0.893857 0.933142 134.05 
9-1-2015 26.055 4.1 26.705 110.955 3.095 53.13 97.13 96.27 13.465 63.325 36.485 11.13 90.65 105.625 24.24 51.505 46.965 26.545 12.995 139.875 1.37672 0.893444 0.935375 134.074 
8-1-2015 26 4.24 26.73 111.29 3.095 53.275 97.295 94.835 13.46 64.64 36.585 11.33 90.68 106.12 24.255 51.79 46.685 26.035 13.23 138.7 1.37508 0.889662 0.934198 134.226 
7-1-2015 26.175 4.095 26.73 109.765 3.075 52.375 95.33 91.775 13.405 64.32 36.005 11.13 89.965 104.82 24.185 51.085 46.545 25.49 13.36 137.975 1.36768 0.882818 0.929457 134.755 
6-1-2015 25.87 4.145 26.635 109.25 2.79 52.66 93.78 91.855 12.885 64.32 36.08 11.28 89.91 103.965 24.25 51.65 46.925 25.455 13.295 134.65 1.36401 0.881583 0.928376 134.93 
5-1-2015 26.115 4.125 26.64 111.12 2.715 53.73 94.385 92.815 12.735 64.32 36.145 11.505 90.425 104.205 24.765 53.145 46.86 25.24 13.265 134.85 1.36083 0.882085 0.929914 135.028 
2-1-2015 26.245 4.385 26.6 112.76 2.8 54.69 94.695 92.53 13.005 64.32 38.05 11.97 90.46 104.84 25.165 54.24 47.07 25.685 13.68 136.6 1.35523 0.880208 0.933103 135.218 
31-12-2014 26.89 4.41 26.435 114.605 2.9 55.245 95.26 93.175 13.16 64.835 38.175 12.18 91.79 105.325 25.395 54.585 47.05 25.735 14.15 138.35 1.35358 0.87834 0.93375 135.52 
30-12-2014 26.91 4.45 26.4 114.9 2.93 55.575 96.35 93.295 13.25 66.33 38.525 12.115 92.46 105.43 25.56 54.6 47.37 25.8 14.19 139.3 1.35352 0.877694 0.931314 135.52 
29-12-2014 27 4.46 26.355 116.165 2.91 55.515 96.56 94 13.25 66.075 38.96 12.17 92.965 105.15 25.765 54.555 47.545 25.885 14.19 138.95 1.35114 0.878509 0.937636 135.461 
26-12-2014 27.27 4.575 26.73 117.01 2.9 55.4 97.27 94.06 13.365 65.8 38.965 12.34 93.435 105.19 25.82 54.59 47.84 26.025 14.315 139.275 1.35049 0.878383 0.942293 135.093 
24-12-2014 27.32 4.57 26.775 116.68 2.91 55.53 97.47 93.665 13.43 66.15 39.025 12.28 93.515 104.855 25.82 54.61 47.625 26.02 14.28 139 1.35126 0.877527 0.942223 135.221 
23-12-2014 27.59 4.565 26.77 115.565 2.9 55.35 97.18 93.84 13.6 66.15 38.945 12.14 93.09 105.415 25.8 54.395 47.665 26.425 14.47 138.35 1.35054 0.879213 0.944352 135.54 
22-12-2014 27.7 4.475 26.81 115.675 2.87 54.655 96.065 95.285 13.6 66.145 38.935 12.15 92.365 106.25 25.665 53.895 47.2 26.37 14.47 138.35 1.34839 0.882561 0.950412 135.7 
19-12-2014 27.645 4.465 26.785 114.325 2.88 54.935 95.705 94.5 13.6 66.285 38.955 12.12 92.245 106.445 25.35 54.115 46.965 26.42 14.47 138.75 1.34787 0.883876 0.954275 135.165 
18-12-2014 27.62 4.49 26.74 114.02 2.855 54.785 94.575 94 13.49 64.85 38.005 11.93 91.275 105.78 24.915 53.615 46.93 26.28 14.335 138.95 1.34574 0.88331 0.95516 134.539 
17-12-2014 27.53 4.42 26.615 112.165 2.835 53.395 93.265 92.08 13.485 64.85 36.81 11.495 90.28 103.595 24.39 51.795 45.995 26.015 14.365 138.45 1.34608 0.883231 0.954611 134.62 
16-12-2014 27.535 4.44 26.595 113.92 2.895 53.25 93.75 91.97 13.425 66.7 35.725 11.5 89.67 103.855 24.79 51.98 45.92 25.945 14.42 137.05 1.34407 0.88158 0.952167 134.393 
15-12-2014 27.65 4.365 26.61 113.875 2.74 53.785 94.79 92.46 13.245 66.7 35.61 11.455 89.815 104.345 24.72 53.3 45.575 26.185 14.245 135.725 1.33359 0.876303 0.947336 134.018 
12-12-2014 27.44 4.475 26.595 115.635 2.625 54.135 95.74 94.145 12.865 66.7 36.675 11.84 90.25 105.63 25.115 53.79 45.705 26.24 13.775 132.375 1.32546 0.875365 0.94619 134.201 
11-12-2014 27.27 4.595 26.59 117.855 2.605 54.775 96.505 94.61 12.625 68.83 37.64 12.005 90.63 106.335 25.5 54.825 46.5 26.675 13.56 129.95 1.32617 0.880543 0.950637 133.381 
10-12-2014 27.05 4.625 26.53 119.615 2.57 54.65 96.835 94.545 12.68 69.275 37.88 12.09 90.53 107.055 25.39 55.135 46.325 26.925 13.87 132.025 1.33151 0.884298 0.95648 132.901 
9-12-2014 27.455 4.645 26.55 120.545 2.615 54.475 96.98 94.425 12.865 69.1 38.605 12.21 90.325 107.68 25.48 55.415 46.88 26.175 14.315 134.05 1.33608 0.885744 0.964334 132.87 
8-12-2014 27.8 4.79 26.515 121.63 2.695 54.87 97.805 95.81 12.98 69.34 39.175 12.495 90.66 108.51 25.85 56.35 48.95 26.28 14.72 135.7 1.33801 0.883785 0.970537 133.418 
5-12-2014 28.02 4.78 26.475 122.495 2.755 55.1 97.565 95.67 13.015 69.765 40.02 12.575 89.815 107.98 26.04 55.975 48.59 25.965 14.8 136.9 1.33829 0.882927 0.977616 133.593 
4-12-2014 28.25 4.68 26.52 121.59 2.725 54.405 97.84 95.795 13.42 69.345 40.33 12.33 90.52 107.84 26.1 55.06 48.655 26.31 14.845 136.65 1.3387 0.887614 0.990494 133.018 
3-12-2014 28.965 4.73 26.64 122.37 2.935 54.355 98.94 95.44 13.78 69.65 41.17 12.405 90.305 108.32 26.28 54.795 48.65 26.35 15.28 138.45 1.3387 0.891686 1.00806 132.264 
2-12-2014 29.075 4.71 26.655 123.775 2.955 54.095 100.09 95.5 13.58 70.2 40.5 12.34 90.645 108.015 26.115 53.99 49.535 26.47 15.305 137.9 1.32726 0.881773 1.01016 133.622 
1-12-2014 29.065 4.735 26.65 123.42 2.925 54.145 99.32 96.565 13.4 70.2 39.385 12.16 90.095 108.08 26.035 53.48 50.42 26.32 15.07 137.125 1.30876 0.865115 1.00086 136.365 
28-11-2014 28.89 4.775 26.75 123.575 2.97 54.505 100.11 96.7 13.43 70.2 39.56 12.36 89.765 108.075 26.67 54.005 50.5 26.85 14.975 138.225 1.30699 0.863745 0.991167 136.711 
26-11-2014 28.97 4.715 26.745 120.245 2.94 54.195 99.325 95.405 13.545 70.2 41.565 12.215 88.665 106.925 26.875 54.24 49.745 27.36 14.785 137.825 1.30632 0.863321 0.988116 136.659 
25-11-2014 28.895 4.67 26.675 119.665 2.87 54.04 98.845 94.85 13.605 70.02 41.79 12.145 88.45 106.945 26.935 54.29 49.215 27.03 14.915 137.325 1.30813 0.863577 0.998679 135.967 
24-11-2014 29.035 4.59 26.775 120.7 2.895 54.145 98.87 94.84 13.585 68.9 42.19 11.935 88.375 107.435 26.95 54.125 49.375 27.375 14.245 136.675 1.3058 0.860529 0.962975 136.477 
21-11-2014 28.87 4.6 26.775 120.24 2.95 53.895 98.685 94.845 13.55 68.925 42.305 11.835 88.945 108.175 26.98 53.98 50.12 27.46 14.19 135.65 1.29521 0.851859 0.86711 137.57 
20-11-2014 28.98 4.475 26.895 118.525 2.965 53.32 98.245 95.34 13.46 69 41.675 11.965 88.565 108.13 26.86 53.34 50.24 27.285 14.13 134.875 1.28717 0.848064 0.832663 138.605 
19-11-2014 29.365 4.57 26.9 118.08 2.965 53.165 98.095 95.61 13.385 69.05 41.44 12.065 88.4 108.455 26.885 53.605 50.66 27.815 13.795 135.05 1.28232 0.846019 0.832663 139.911 
18-11-2014 29.1 4.63 26.835 119.05 3.055 53.265 98.18 95.385 13.285 68.3 41.185 11.98 87.835 108.39 26.87 53.84 51.24 28.085 13.525 135 1.28035 0.844723 0.832663 140.318 
17-11-2014 28.475 4.55 26.785 118.06 3.05 53.18 97.7 94.395 13.08 67.44 40.775 11.885 87.775 108.15 26.55 53.345 51.31 27.865 13.385 134.325 1.27927 0.845473 0.832663 140.717 
14-11-2014 27.915 4.56 26.655 117.84 3.015 53.46 97.955 93.79 12.9 66.63 40.71 11.745 88.41 108.535 26.445 53.43 51.455 28.385 12.99 132.9 1.27693 0.845693 0.832637 141.218 
13-11-2014 28.225 4.515 26.615 118.785 3.045 53.395 97.745 94.125 12.855 66.63 40.66 11.765 89.15 108.995 26.52 53.28 50.965 28.49 13.155 132.3 1.27567 0.841551 0.832588 141.457 
12-11-2014 28.145 4.57 26.525 117.985 3.01 53.44 96.805 92.805 12.73 67.07 41.34 11.815 89.65 108.695 26.435 53.345 50.66 28.135 13.04 131.775 1.27702 0.838052 0.832327 142.538 
11-11-2014 27.68 4.825 26.485 118.565 3.015 53.815 97.01 92.46 12.53 67.42 41.615 11.995 89.48 108.975 26.37 53.925 50.64 28.555 12.765 130.925 1.27828 0.835936 0.83209 143.876 
10-11-2014 27.405 4.78 26.46 117.645 3.05 53.805 96.575 92.265 12.515 66.635 42.01 11.975 88.88 108.06 26.455 53.715 50.6 28.695 12.855 131.5 1.28097 0.830675 0.831788 144.774 
7-11-2014 27.4 4.685 26.41 115.885 3.01 53.945 96.155 91.53 12.415 67.45 42.14 11.86 88.725 108.475 26.36 53.775 50.495 29.285 12.98 130.65 1.28544 0.825348 0.831526 145.116 
6-11-2014 27.555 4.865 26.355 116.63 3.01 53.8 96.855 92.265 12.405 67.45 41.825 12.14 88.885 108.935 26.13 54.055 50.025 29.89 13.395 129.175 1.28089 0.823271 0.831526 145.417 
5-11-2014 27.885 4.875 26.37 116.035 3.095 53.34 97.115 92.635 12.43 67.63 41.585 12.235 88.925 108.605 25.785 53.685 50.455 30.245 13.49 129.175 1.27735 0.821953 0.831361 146.161 
4-11-2014 27.71 4.81 26.355 115.745 3.065 53.2 96.415 91.77 12.12 66.95 41.71 12.145 88.155 108.035 25.695 52.975 50.525 30.135 13.43 127.3 1.27686 0.820879 0.831261 146.733 
3-11-2014 27.395 4.83 26.275 116.505 2.935 53.345 96.02 91.515 12.105 67.32 42.755 12.145 86.795 107.435 25.66 53.385 50.35 31.42 13.48 126.725 1.27692 0.820657 0.831384 146.719 
31-10-2014 27.85 5.01 26.27 117.615 2.9 52.975 96.16 92.585 12.03 67.795 43.08 12.29 87.035 107.72 25.8 53.445 50.285 31.335 13.695 126.4 1.27548 0.820287 0.831551 146.861 
30-10-2014 27.845 4.85 26.24 115.89 2.85 52.27 95.125 91.115 11.91 67 42.855 11.675 86.335 105.98 25.52 52.87 49.89 29.64 13.565 124.7 1.27435 0.819987 0.831551 146.86 
29-10-2014 27.825 4.945 26.245 116.685 2.75 51.975 94.785 91.52 11.855 67.37 43.06 11.605 86.29 105.21 25.645 52.42 49.9 29.7 13.555 122.15 1.27461 0.818009 0.831182 146.793 
28-10-2014 27.915 4.92 26.24 115.635 2.795 51.545 94.78 92.305 11.94 65.43 42.495 11.635 86.41 104.18 25.72 52.08 49.82 29.63 13.62 124.5 1.27673 0.817047 0.830925 146.435 
27-10-2014 28.33 4.78 26.25 114.555 2.78 51.185 94.775 90.215 11.915 64.375 41.77 11.57 85.655 103.64 25.54 51.41 49.135 29.865 13.62 124.45 1.27414 0.815631 0.830995 146.191 
24-10-2014 27.9 4.835 26.25 114.395 2.795 50.9 94.17 89.98 11.52 63.82 42 11.735 85.44 102.75 25.53 51.62 48.605 29.6 13.135 121.375 1.26521 0.808618 0.831853 146.131 
23-10-2014 28.215 4.77 26.2 113.8 2.81 50.735 94.41 89.22 11.655 63.985 42.105 11.75 83.315 102.46 25.545 51.495 48.225 29.715 13.37 122.35 1.25892 0.801985 0.832663 146.078 
22-10-2014 28.355 4.715 26.16 112.46 2.765 50.415 94.33 88.635 11.36 64.67 41.86 11.64 84.255 101.155 25.315 51.24 48.55 29.9 13.21 122.025 1.25856 0.802116 0.832663 146.642 
21-10-2014 27.785 4.695 26.125 113.44 2.73 50.075 93.065 88.085 11.15 64.66 42.03 11.61 84.15 99.86 25.33 51.12 48.4 29.35 13.115 120.375 1.26082 0.803168 0.832637 147.631 
20-10-2014 27.99 4.62 26.055 112.845 2.73 48.925 92.655 87.24 11.055 63.63 41.035 11.27 83.58 98.76 24.915 50.29 48.18 29.675 13.17 120.025 1.26176 0.803219 0.832365 147.781 
17-10-2014 27.84 4.655 26.055 112 2.725 48.72 91.275 86.645 10.835 63.745 41.465 11.09 82.755 98.23 24.975 50.23 47.9 28.51 13.115 119.55 1.26397 0.805355 0.831837 147.418 
16-10-2014 27.51 4.51 26.05 110.14 2.92 47.865 90.425 84.9 10.85 64.79 40.215 10.76 82.185 97.25 24.235 49.475 47.535 28.545 13 120.45 1.26635 0.807961 0.831837 147.773 
15-10-2014 27.55 4.59 26.035 109.53 2.98 47.48 91.66 85.62 10.705 63.46 40.125 10.93 82.67 96.91 24.045 49.52 47.48 28.75 12.85 120.275 1.26848 0.811416 0.831825 148.447 
14-10-2014 27.2 4.74 26.115 110 2.905 49.035 93.555 87.32 10.68 63.46 40.875 11.38 83.47 98.12 24.345 51.035 48.39 28.99 12.82 119.5 1.26896 0.81267 0.831476 149.047 
13-10-2014 26.995 4.77 26.09 110.745 2.8 50.565 94.64 88.035 10.525 63.93 41.635 11.575 83.89 100.24 24.115 50.365 48.91 28.97 12.79 118.725 1.26933 0.81267 0.831476 148.755 
10-10-2014 26.71 4.845 26.07 111.39 2.77 51.175 94.78 88.19 10.35 64.99 41.625 11.47 84.595 101.88 24.54 50.7 49.22 29.185 12.52 118.725 1.27017 0.810347 0.831029 147.708 
9-10-2014 27.27 4.88 26.105 113.38 2.79 51.62 94.89 89.72 10.65 64.99 42.34 11.59 84.205 103.325 25.02 51.745 49.365 29.55 12.965 120.475 1.26589 0.807475 0.830864 147.582 
8-10-2014 27.655 4.925 26.06 112.815 2.88 51.64 93.35 89.88 10.835 65.14 42.81 11.85 83.745 103.535 24.955 51.89 49.41 29.45 13.205 121.425 1.26042 0.803406 0.830956 147.715 
7-10-2014 27.57 4.915 26.07 112.165 2.915 51.45 93.22 90.145 10.815 64.46 42.795 11.87 83.52 103.4 24.995 51.67 49.85 29.92 13.26 122 1.25735 0.802765 0.831384 147.715 
6-10-2014 27.4 5.01 26.02 113.09 3.01 52.225 93.22 92.46 11.01 65.25 42.97 11.91 83.565 105.185 25.35 52.4 50.09 29.77 13.405 123.175 1.25872 0.802168 0.831775 147.394 
3-10-2014 27.685 5.02 25.99 111.97 3.035 51.89 93.09 92.275 11.265 64.15 42.845 11.735 83.415 104.66 25.29 52.035 49.665 29.975 13.71 123.95 1.26186 0.80083 0.831788 146.907 
2-10-2014 28.015 5.055 26.02 114.005 3 51.2 92.625 93.295 11.315 65.33 43.015 11.665 83.46 103.895 25.13 51.09 49.465 30.02 13.81 121.875 1.26111 0.802159 0.831563 146.935 
1-10-2014 27.84 5.19 25.995 114.015 2.955 51.58 92.82 93.78 11.46 66.95 43.855 11.92 83.535 105.115 25.275 51.37 49.675 31.025 13.875 122.775 1.26211 0.804692 0.831538 146.708 
30-9-2014 28.055 5.24 26.01 115.53 2.825 51.945 93.175 94.315 11.7 66.95 44.01 11.925 84.02 106.83 25.515 52.06 49.92 31.21 14.125 124.35 1.26347 0.8065 0.83186 146.291 
29-9-2014 27.815 5.185 26.005 114.22 2.77 51.65 92.95 93.595 11.6 68.49 44.43 11.745 84.065 106.345 25.41 51.795 49.5 31.26 14.02 122.9 1.25901 0.803301 0.83234 146.873 
26-9-2014 28.115 5.27 25.91 115.28 2.93 51.635 92.885 93.105 11.725 68.49 44.18 11.805 84.3 106.845 25.565 52.275 49.61 31.375 14.21 123.775 1.24965 0.797615 0.832437 147.859 
25-9-2014 28.5 5.165 26.375 116.505 2.925 51.79 92.955 93.285 11.915 68.49 44.44 11.815 84.73 107.81 25.705 52.615 49.815 31.045 14.435 125.225 1.24977 0.798675 0.832461 146.649 
24-9-2014 28.58 5.21 26.36 117.275 3.025 52.085 93.56 93.34 11.96 68.49 45.62 11.885 84.865 108.055 25.85 52.905 49.985 31.245 14.435 125.275 1.25254 0.80007 0.832461 145.617 
23-9-2014 28.285 5.185 26.315 116.685 3.07 52.565 93.21 93.585 11.915 68.49 45.87 11.72 84.68 107.645 26.06 53 49.965 31.245 14.31 124.225 1.2521 0.799253 0.832437 145.435 
22-9-2014 28.475 5.3 26.34 118.67 3.12 53.16 93.535 94.015 11.93 68.63 46.18 11.77 84.72 108.015 26.15 53.35 50.075 31.285 14.42 124.45 1.256 0.800005 0.832265 144.997 
19-9-2014 28.395 5.32 26.335 119.78 3.16 53.51 93.815 93.905 12.055 68.78 46.66 11.97 84.475 107.995 26.325 53.695 50.105 31.5 14.64 124.775 1.26793 0.802641 0.831713 143.981 
18-9-2014 28.605 5.37 26.2 121.03 3.205 53.005 93.1 94.475 12.055 68.99 46.48 11.755 84.255 106.72 26.245 53.19 49.545 32.195 14.46 124.875 1.27455 0.803155 0.831439 143.71 
17-9-2014 28.69 5.39 26.105 120.81 3.18 52.51 92.68 95.055 12.01 69.47 46.32 11.625 84.215 106.215 26.25 52.635 49.215 32.6 14.48 124.9 1.27544 0.803636 0.831424 143.09 
16-9-2014 28.83 5.335 26.045 121.955 3.375 52.13 92.02 94.15 12.16 69.77 46.05 11.37 84.005 105.12 26.075 52.16 48.83 32.61 14.635 125.725 1.27446 0.802589 0.831182 142.624 
15-9-2014 28.79 5.33 26 121.3 3.775 51.91 91.045 93.97 11.975 69.765 45.785 11.305 83.695 104.63 25.85 52.22 48.45 32.48 14.615 126.25 1.27567 0.802513 0.830849 142.861 
12-9-2014 28.83 5.385 25.94 119.63 3.725 51.775 91.19 93.625 11.575 70.45 45.935 11.39 83.12 104.385 25.885 52.475 48.63 32.445 14.33 124.925 1.27709 0.800683 0.830561 143.031 
11-9-2014 28.695 5.385 25.97 119.545 3.69 51.525 91.715 94.22 11.615 70.45 46.23 11.26 83.56 104.495 25.96 51.89 48.705 33.06 14.395 125.5 1.2766 0.798921 0.830154 142.66 
10-9-2014 28.575 5.38 25.98 120.19 3.68 51.34 91.725 93.82 11.54 70.45 46.195 11.165 83.555 104.65 25.94 51.585 48.72 33.165 14.365 125.35 1.27821 0.799448 0.829525 141.87 
9-9-2014 28.645 5.38 26.06 120.04 3.725 51.18 91.545 93.975 11.55 70.365 45.215 11.08 83.06 103.975 25.98 51.45 49.16 32.76 14.435 125.525 1.27846 0.799796 0.82936 141.125 
8-9-2014 28.72 5.39 26.055 119.325 3.74 51.535 91.82 93.335 11.58 71.34 45.415 11.03 83.365 104.205 26.165 52.34 49.615 32.835 14.565 125.325 1.27371 0.796609 0.82936 139.538 
5-9-2014 28.805 5.435 25.97 120.69 3.765 51.405 91.62 93.075 11.625 71.255 45.75 11.41 83.435 103.88 25.95 52.105 49.795 32.69 14.34 125.225 1.26772 0.790156 0.829263 137.586 
4-9-2014 28.765 5.455 26.085 121.44 3.765 51.66 92.46 93.435 11.625 71.645 46.38 11.61 83.265 103.93 26.01 52.55 49.725 32.99 14.26 125.55 1.26715 0.785958 0.829263 137.536 
3-9-2014 28.89 5.38 26.215 120.91 3.76 51.715 92.285 94.405 11.795 70.75 47.845 11.625 83.125 103.82 25.91 52.285 49.845 33.425 14.29 124.925 1.26869 0.786895 0.829164 137.167 
2-9-2014 29.385 5.21 26.35 119.915 3.745 51.475 92.76 93.295 11.735 70.6 47.365 11.635 83.1 103.365 25.9 51.71 49.75 33.445 14.37 127.2 1.26931 0.788266 0.829164 137.003 
29-8-2014 29.85 5.23 26.43 119.685 3.755 51.325 92.46 89.75 11.695 69.85 47.835 12.015 82.865 103.385 25.995 51.645 49.61 33.63 14.34 129.1 1.26902 0.789837 0.829024 136.667 
28-8-2014 29.595 5.25 26.34 119.585 3.79 51.14 92.255 89.535 11.63 70.27 48.01 12 82.99 102.95 26.025 51.45 49.35 33.87 14.27 128.85 1.26747 0.789601 0.828862 136.017 
27-8-2014 29.61 5.385 26.245 118.825 3.85 51.485 92.39 90.04 11.635 71.26 48.355 12.09 83.38 103.315 26.11 51.975 49.335 33.225 14.11 128.8 1.26595 0.785889 0.828862 136.047 
26-8-2014 29.255 5.365 26.235 118.775 3.81 51.58 93.035 89.69 11.575 71.385 48.285 12.065 83.58 103.445 26.145 51.925 49.155 33.31 13.985 127.825 1.26375 0.782944 0.828729 136.474 
25-8-2014 29.45 5.3 26.305 118.8 3.87 51.58 93.015 89.155 11.435 70.445 48.405 12.055 83.565 103.45 26.155 51.635 48.92 33.29 13.875 126.725 1.26205 0.783399 0.828414 136.568 
22-8-2014 29.39 5.15 26.34 118.395 3.84 51.36 92.095 89.085 11.37 70.07 48.175 11.895 83.4 103.5 26.24 51.2 48.75 33.295 13.815 126.825 1.25755 0.782822 0.8283 136.112 
21-8-2014 29.39 5.185 26.295 119.265 4.1 51.15 92.6 89.125 11.44 71.06 48.225 11.96 83.08 103.875 26.375 50.51 48.94 33.59 13.835 126.8 1.25229 0.783824 0.828526 135.651 
20-8-2014 29.535 5.135 26.255 118.65 4.14 50.79 91.98 88.645 11.47 71.5 48.135 11.885 82.7 103 26.205 49.69 48.785 33.54 13.88 127.55 1.25676 0.787842 0.828167 135.677 
19-8-2014 29.5 5.11 26.28 119.325 4.16 50.92 92.07 88.41 11.315 71.5 48.09 11.94 82.495 102.49 26.105 49.885 48.655 33.015 13.765 127.575 1.26395 0.788451 0.827688 135.901 
18-8-2014 29.27 5.185 26.225 119.1 4.14 50.565 92.26 87.425 11.29 71.5 47.725 11.72 82.33 102.235 25.96 49.275 48.89 32.86 13.84 126.575 1.27078 0.789985 0.827347 136.523 
15-8-2014 29.135 5.15 26.04 118.62 4.105 50.245 92.02 87.06 11.215 70.895 47.295 11.62 81.705 101.62 25.74 48.9 48.775 33.05 13.78 124.925 1.27201 0.789431 0.826534 136.523 
14-8-2014 29.31 5.2 26.14 117.66 4.085 50.275 91.77 87.185 11.215 71.36 47.34 11.61 81.74 101.775 25.84 48.945 48.915 33.185 13.855 125.325 1.26996 0.787167 0.825234 137.275 
13-8-2014 29.01 5.17 26.03 116.85 4.12 49.98 91.475 86.5 11.1 71.205 47.105 11.585 81.455 101.55 25.81 48.71 48.89 32.675 13.81 124.875 1.27087 0.790305 0.824878 137.126 
12-8-2014 28.905 5.085 26.025 116.915 4.15 50.01 91.455 85.995 11.22 71.18 47.36 11.46 81.535 100.765 25.725 48.365 48.755 32.65 13.7 125.2 1.27321 0.793557 0.825111 137.217 
11-8-2014 29.125 5.07 26.02 116.29 4.165 50.015 91.28 85.88 11.215 71 47.44 11.395 81.45 101.395 25.86 48.415 48.825 33.02 13.79 125.45 1.275 0.797696 0.825565 137.319 
8-8-2014 29.1 5.005 25.995 115.735 4.125 49.755 89.93 84.97 11.255 71 47.1 11.59 80.535 100.46 25.485 48.14 48.65 32.765 13.825 125.4 1.27712 0.796059 0.826765 137.368 
7-8-2014 29.01 5.055 25.975 117.495 4.085 50.005 90.195 85.415 11.23 72.22 47.69 11.44 80.595 100.385 25.56 48.26 48.885 33.225 13.77 124.75 1.28105 0.791657 0.828419 137.722 
6-8-2014 28.935 5.2 25.945 118.265 4.085 50.175 89.595 85.795 11.3 72.63 48.06 11.615 80.285 100.215 25.33 48.14 48.905 32.415 13.7 124.575 1.28367 0.792026 0.828786 138.384 
5-8-2014 28.76 5.39 25.965 119.145 4.08 50.595 89.285 86.82 11.24 72.45 48.83 11.685 79.36 99.895 25.12 48.07 49.85 32.97 13.255 123.9 1.28181 0.789716 0.828786 138.671 
4-8-2014 28.775 5.585 26.05 119 4.145 50.775 88.925 86.905 11.205 72.31 49.15 11.865 79.06 99.85 25.26 48.28 49.97 33.06 13.28 124.825 1.28046 0.788338 0.828637 138.756 
1-8-2014 28.815 5.575 26.065 119.48 4.165 50.67 88.195 86.725 11.13 72.27 48.895 11.745 79.75 99.605 25.055 48.465 50.175 33.27 13.11 124.475 1.28058 0.786931 0.828428 138.789 
31-7-2014 28.825 5.635 26.105 120.685 4.145 51.385 88.49 87.47 11.47 72.6 49.2 11.99 77.65 100.945 25.355 49.415 50.865 33.35 13.245 125.525 1.27865 0.782514 0.828038 139.211 
30-7-2014 29.05 5.66 26.1 121.23 4.155 51.995 89.635 88.315 11.415 74.19 49.14 12.265 78.575 102.33 25.595 49.95 51.785 33.58 13.465 126.125 1.27563 0.778836 0.82818 139.627 
29-7-2014 29.4 5.74 26.115 122.77 4.28 51.815 90.555 88.345 11.9 74.19 49.37 11.98 79.075 102.1 25.585 49.645 52.77 33.99 13.635 126.225 1.27287 0.77794 0.82834 139.855 
28-7-2014 29.83 5.665 26.12 122.095 4.245 51.44 91.22 87.83 11.98 74.19 50.605 11.965 79.235 102.03 25.585 49.81 51.38 32.98 13.64 124.475 1.2712 0.778871 0.827935 139.905 
